Identifier,ARN,Resource type,Region,AWS Account,Application,LastReportedAt,Service,Tags,Tag:cost-center,Tag:aws:cloudformation:logical-id,Tag:aws:cloudformation:stack-id,Tag:aws:cloudformation:stack-name,Tag:InstanceScheduler-LastAction,Tag:Name,Tag:project,Tag:dlm:managed,Tag:Schedule,Tag:CdkGenerated,Tag:Environment,Tag:Sector,Tag:DNS5,Tag:deploy-stp-integraion-testing,Tag:DNS3,Tag:deploy-stp-api-testing,Tag:DNS2,Tag:instance-id,Tag:Backup,Tag:deploy-stp-acf-testing,Tag:DNS1,Tag:deploy-stp-identity-testing,Tag:DNS4,Tag:aws:dlm:lifecycle-schedule-name,Tag:aws:dlm:lifecycle-policy-id,Tag:Arasco-Prod,Tag:wes-api-dev-deploy,Tag:DNS6,Tag:deploy-stp-acf-staging,Tag:deploy-stp-audit-staging,Tag:deploy-stp-integrations-staging,Tag:deploy-stp-api-staging,Tag:deploy-stp-identity-staging,Tag:deploy-stp-api-preproduction,Tag:deploy-stp-acf-preproduction,Tag:deploy-stp-identity-preproduction,Tag:deploy-stp-integrations-preproduction,Tag:stp-acf-deploy,Tag:Application-Identity,Tag:Application,Tag:Env.,Tag:Solutions:SolutionID,Tag:Solutions:SolutionName,Tag:Solutions:SolutionVersion,Tag:Solutions:ApplicationType,Tag:aws:servicecatalog:applicationName,Tag:aws:ssmmessages:session-id,Tag:aws:ssmmessages:target-id,Tag:NLA-DEV,Tag:ims-api-dev-deploy,Tag:QuickSetupManagerID,Tag:QuickSetupDefinitionID,Tag:QuickSetupManagerRegion,Tag:QuickSetupManagerArn,Tag:QuickSetupManagerAccount,Tag:QuickSetupDocument,Tag:QuickSetupDocumentVersionName,Tag:aws:servicecatalog:attributeGroupName,Tag:env,Tag:EnableAWSServiceCatalogAppRegistry,Tag:aws:servicecatalog:applicationId,Tag:aws:servicecatalog:applicationArn,Tag:wes-api-testing-deploy
sgr-01f0212045d12a83c,arn:aws:ec2:eu-west-3:405124853097:security-group-rule/sgr-01f0212045d12a83c,ec2:security-group-rule,eu-west-3,405124853097,-,Fri Dec 19 2025 02:16:43 GMT+0200 (Eastern European Standard Time),ec2,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
rds:ott-dev-2025-12-19-08-40,arn:aws:rds:eu-west-3:405124853097:snapshot:rds:ott-dev-2025-12-19-08-40,rds:snapshot,eu-west-3,405124853097,-,Sat Dec 20 2025 16:13:26 GMT+0200 (Eastern European Standard Time),rds,1,Pharma-WES-Dev,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
E3108XD6XFPDW8,arn:aws:cloudfront::405124853097:distribution/E3108XD6XFPDW8,cloudfront:distribution,global,405124853097,-,Thu Dec 18 2025 03:15:41 GMT+0200 (Eastern European Standard Time),cloudfront,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
default-Scheduler-Role,arn:aws:iam::405124853097:role/default-Scheduler-Role,iam:role,global,405124853097,-,Sun Dec 21 2025 11:41:12 GMT+0200 (Eastern European Standard Time),iam,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
subnet-0ffd60007a3a7c751,arn:aws:ec2:us-west-2:405124853097:subnet/subnet-0ffd60007a3a7c751,ec2:subnet,us-west-2,405124853097,-,Wed Nov 26 2025 17:38:31 GMT+0200 (Eastern European Standard Time),ec2,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
wes-front-testing,arn:aws:codebuild:eu-west-3:405124853097:project/wes-front-testing,codebuild:project,eu-west-3,405124853097,-,Wed Dec 17 2025 22:25:49 GMT+0200 (Eastern European Standard Time),codebuild,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
aws-service-role/autoscaling.amazonaws.com/AWSServiceRoleForAutoScaling,arn:aws:iam::405124853097:role/aws-service-role/autoscaling.amazonaws.com/AWSServiceRoleForAutoScaling,iam:role,global,405124853097,-,Sun Dec 21 2025 11:31:29 GMT+0200 (Eastern European Standard Time),iam,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
AWSCodePipelineServiceRole-eu-west-3-stp-integrations-dev,arn:aws:iam::405124853097:role/AWSCodePipelineServiceRole-eu-west-3-stp-integrations-dev,iam:role,global,405124853097,-,Sun Dec 21 2025 11:28:14 GMT+0200 (Eastern European Standard Time),iam,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
aws-service-rule/securityhub.amazonaws.com/config-rule-vof1f2,arn:aws:config:eu-west-3:405124853097:config-rule/aws-service-rule/securityhub.amazonaws.com/config-rule-vof1f2,config:config-rule,eu-west-3,405124853097,-,Sun Dec 21 2025 04:35:27 GMT+0200 (Eastern European Standard Time),config,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
service-role/AWSCodePipelineServiceRole-eu-west-3-stp-identity-dev-pipline,arn:aws:iam::405124853097:role/service-role/AWSCodePipelineServiceRole-eu-west-3-stp-identity-dev-pipline,iam:role,global,405124853097,-,Sun Dec 21 2025 11:28:13 GMT+0200 (Eastern European Standard Time),iam,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
